# Source: KIC_10004519.npz
# kic_id: 10004519
# period: 9.80321143
# epoch: 363.98686
# quarters_used: 14
# original_points: 51301
# final_points: 2824
# processing_time: 1.6331813335418701
# folded: True
time,flux,flux_err
-4.8993626,0.03272204,6.7434106e-05
-4.8959827,1.6669253,8.136423e-05
-4.8927417,0.35897508,9.1185415e-05
-4.888988,0.19956234,7.607668e-05
-4.8855453,1.1537777,0.000111393936
-4.882229,1.5958903,8.324831e-05
-4.8785076,0.8442926,8.493705e-05
-4.875123,-0.28847528,9.631375e-05
-4.8718476,-0.39235154,9.169412e-05
-4.868002,-1.1112993,9.589774e-05
-4.86438,-0.63183016,8.575191e-05
-4.861393,0.51112103,9.343268e-05
-4.857701,1.016969,5.967519e-05
-4.854107,1.2063456,6.7268455e-05
-4.8508797,-0.79308015,6.0888415e-05
-4.8470635,-1.7725796,6.7191046e-05
-4.8437705,-0.81400293,7.098862e-05
-4.8403554,0.47926843,9.0368536e-05
-4.8369155,0.4784835,7.562312e-05
-4.8333335,1.726344,0.00011996744
-4.830141,2.3415906,7.5801625e-05
-4.8265185,0.9732823,8.159724e-05
-4.823003,-1.191185,0.00010297816
-4.8196244,-0.6012451,6.518044e-05
-4.8161855,-0.58759826,9.153621e-05
-4.8126793,-2.9193685,8.621632e-05
-4.8093,-0.13010545,9.349814e-05
-4.805819,0.5574356,9.460838e-05
-4.801952,-1.6601396,7.4912685e-05
-4.798671,0.08492716,6.462693e-05
-4.795493,-0.2310585,8.2783925e-05
-4.791714,-0.7284772,6.6340566e-05
-4.7883735,0.16681875,0.00010440965
-4.7851586,1.5596144,8.916187e-05
-4.781239,-2.3045392,8.932674e-05
-4.7779226,-0.28710663,9.152621e-05
-4.7745357,-0.3291254,9.913694e-05
-4.7709923,-0.9909561,8.590609e-05
-4.7675166,-0.9711335,0.00011636206
-4.764413,-0.5049431,0.00010135614
-4.7603607,1.3810018,8.7058426e-05
-4.757072,-0.022594819,8.614426e-05
-4.753788,1.1271542,0.00011170062
-4.7501864,-2.217712,9.1865055e-05
-4.746679,1.9321316,0.00010141979
-4.743344,1.6912782,0.00010853156
-4.7397833,2.3229926,7.703371e-05
-4.7361426,0.47261214,8.0745405e-05
-4.7330008,-0.5269621,9.280989e-05
-4.7294245,-0.77982056,8.524874e-05
-4.725787,0.66302645,7.126306e-05
-4.7222385,-3.619288,0.00010061495
-4.719016,0.16970183,9.689659e-05
-4.7152395,-0.20449677,8.776913e-05
-4.7121377,1.9653175,7.7332275e-05
-4.7086244,-0.98415494,0.000101423546
-4.7049685,-0.10062673,6.065257e-05
-4.7015758,-0.26642227,0.00010948589
-4.6983714,0.589731,8.389967e-05
-4.6945677,-1.0325401,8.4500236e-05
-4.6911945,-1.6517013,8.402183e-05
-4.688049,-0.06977825,4.5758086e-05
-4.684067,-1.8467084,9.455435e-05
-4.680343,-0.7081706,0.00010419046
-4.677422,-1.0088946,6.0305345e-05
-4.6737704,0.24848776,8.228076e-05
-4.670154,0.7529774,9.261575e-05
-4.666907,1.0516826,7.7196346e-05
-4.6633224,1.796873,9.980697e-05
-4.659511,-0.49378952,0.00011261903
-4.6564903,1.1055313,9.131832e-05
-4.653003,-2.2099757,5.0187646e-05
-4.6492352,0.024593528,0.000103261504
-4.6458473,-0.16553076,9.082797e-05
